gamma,Ftotal11_mean,Tfull11_mean,Ftotal12_mean,Tfull12_mean,Ftotal21_mean,Tfull21_mean,Ftotal22_mean,Tfull22_mean
0.15,1.0000415275510204,1.0000976137346937,0.14988737305061225,0.15264287135187757,-3.266908938775493e-05,-0.0002622329473469386,1.0000803337857143,0.9977399445172449
0.16,1.000124590612245,1.000372609612245,0.15991193031142853,0.1636656552181633,8.23083445918343e-06,-0.0009320759988163273,0.9999867330918367,0.9972857174796939
0.17,1.0001459934693875,1.0007035847959185,0.1698962721334694,0.17476465401408164,8.165323775509488e-06,-0.0012165433914285712,1.0000585362244898,0.9967028701328571
0.18,1.0001932779591838,1.0001353607142858,0.17992621862448982,0.18377112008367347,-5.2461171734694714e-05,-0.00023860846326530637,1.0000675048132652,0.9970462586357143
0.19,1.0001978420408162,1.0000468980714285,0.18991962426734696,0.1943870503102041,-9.001425510203984e-05,-0.000562450826387756,1.0001321022142857,0.9963010431959183
0.2,1.0002201520408163,1.0000798650612246,0.19990964703979594,0.20436192454489796,-0.00010069306428571521,-0.0005438196836734701,1.0001967605938775,0.9963503292632654
0.21,1.0002395183673471,1.0000371337448979,0.20994893001020407,0.21423766593877552,-8.2243545918368e-05,-0.0006101327142857146,1.0002205745,0.996292317377551
0.22,1.0002420102040817,0.9999668497959184,0.2200052767387755,0.22419197804489793,-8.994358367346991e-05,-0.0006953816448979598,1.000247565887755,0.9961201210755102
0.23,1.0002779581632653,0.9996998613265305,0.2300835030877551,0.23426367579591836,-8.685968367346921e-05,-0.0004674794693877555,1.0004193764285714,0.9962568783265308
0.24,1.0003196150000002,0.9997482682653062,0.24009287063775517,0.2442500530469388,-9.427517653061211e-05,-0.0004461723877551018,1.0004250057142856,0.9963710534693878
0.25,1.0003580540816326,0.9995773859183672,0.2501426404489796,0.25417498545714284,-7.792527755102036e-05,-0.0006494085316326528,1.0004448934693877,0.9961642920408162
0.26,1.0003106614285715,0.9997040864285714,0.26031006958265307,0.2639191918673469,-6.455937755102182e-05,-0.0014164926530612241,1.000407087244898,0.9949651526326531
0.27,1.0003792405408163,1.0000168867857142,0.2703119545612245,0.274126673367347,-0.00016241734693877704,-0.002679655795918367,1.0005875574489795,0.9938066960204082
0.28,1.0004040770306124,0.9997787813265305,0.28033052551020404,0.2837274406530612,-0.00018768368367346822,-0.0026090185714285714,1.00067389377551,0.9936081613877552
0.29,1.0004133824897958,0.9998619997959183,0.2903603323571429,0.2935733916367347,-0.00016840663265306062,-0.0025092505816326546,1.0006588557755103,0.993716033979592
0.3,1.0004142770714284,0.9987905985408164,0.30058015337755095,0.3028628286122449,-0.00013235928571428583,-0.0016218481530612253,1.0008644097959183,0.9936449159438776
0.31,1.0005360666326533,0.9995483788775511,0.3107570524897959,0.312248942632653,-4.7810678571428355e-05,-0.0020580472959183674,1.0009089935714286,0.993664707112245
0.32,1.0003939958163266,0.9992028657448979,0.32055781748979595,0.32009031170408164,-0.00015809132653061186,-0.0014328600918367357,1.001049252244898,0.9913484309285715
0.33,1.0004700215306124,0.9990345835714286,0.3305222758265306,0.3298199096938775,-0.00015537168877550943,-0.0005116824897959203,1.0009869635612245,0.9909928362244897
0.34,1.0004980853061225,0.9990694433673469,0.3405078437857143,0.3399089052040817,-0.0001645795612244903,-0.0006369496122448998,1.0009916210510206,0.9910390518163266
0.35,1.000427093265306,0.999065616020408,0.35053373322448983,0.34962130634693883,-0.00016186603755101973,-0.0005320710918367351,1.000988000969388,0.9909483873163265
