load_step,load,total_energy,total_energy_change,total_init_energy,total_e_change_from_init,avg_energy,avg_energy_change,avg_init_energy,avg_e_change_from_init,min_iter_total_energy_change,min_iter_avg_energy_change,max_energy,max_force,avg_sigma11,avg_sigma12,avg_sigma22,avg_init_sigma11,avg_init_sigma12,avg_init_sigma22,avg_sigma12_change_from_init,avg_P11,avg_P12,avg_P21,avg_P22,avg_init_P11,avg_init_P12,avg_init_P21,avg_init_P22,participationFraction,m3_participationFraction,nr_elements_with_m3_change,nr_red_q1,nr_red_q2,nr_red_q3,nr_red_q4,max_m3_nr,sum_m3,max_positive_plastic_jump,max_negative_plastic_jump,nr_iterations,nr_func_evals,nr_edge_flips,nr_total_edge_flips,edge_flip_chosen_minus_other_energy,edge_flip_always_chose_lower_energy,LBFGS_Term_reason,CG_Term_reason,FIRE_Term_reason,run_time,minimization_time,write_time,est_time_remaining,cmX,cmY,maxX,minX,maxY,minY
1,0.15,37.406491581,0,573.11097436,-535.70448278,0.0038169889369,0,0.05848071167,-0.054663722733,0,0,0.13824567383,4.0624610774e-06,-0.020481749341,0.010124082925,0.016342735184,-0.060948460304,0.21507350448,-0.087513324261,-0.20494942155,-0.01785094653,0.010018848973,0.006536346327,0.020808862686,-0.030882486582,0.19362088715,0.19657532027,-0.019073759494,0.46166723853,0.46231239093,806,3609,2977,1671,1543,1,806,3,0,8444,13838,3280,3280,0,1,2,0,0,8.664s,8.663s,0.000s,0.000s,40.244868499,34.963244695,80.132524126,-0.36747587367,70.769478004,-0.76949963206
2,0.16,35.392907974,-2.0135836078,39.048854917,-3.6559469438,0.0036115212218,-0.00020546771508,0.0039845770324,-0.00037305581059,0,0,0.14225846646,1.3147341173e-05,-0.024267237928,0.0094609370771,0.020231867058,-0.014510525616,0.056550983571,0.010371511458,-0.047090046494,-0.021762513617,0.0086043430419,0.0068573339012,0.0241845763,-0.0176183026,0.056580565447,0.053579865074,0.01792437109,0.27198167922,0.36216717464,206,3659,3169,1565,1407,1,725,3,-1,3331,5611,1996,1996,0,1,8,0,0,12s,12.424s,0.117s,0.000s,40.601603937,34.963280704,80.870634216,-0.32936578351,70.668764603,-0.69900095879
3,0.17,33.531215267,-1.8616927069,37.030627864,-3.4994125972,0.0034215525782,-0.00018996864357,0.0037786354963,-0.00035708291809,0,0,0.14396780985,2.3975509156e-05,-0.027087936124,0.003763218603,0.023257992377,-0.017587605474,0.056859095624,0.013552234604,-0.053095877021,-0.02478731471,0.0023276338531,0.0014226921824,0.026850728974,-0.02097475557,0.05612335474,0.054973102801,0.021016193418,0.49243361162,0.54978214019,266,3239,3959,1497,1105,1,689,3,-1,3750,6058,1740,1740,0,1,8,0,0,16s,15.889s,0.239s,4m 57s,40.952488091,34.97041943,81.813057499,-0.086942501182,70.646170573,-0.74831732421
4,0.18,31.987729454,-1.5434858131,34.903416925,-2.9156874714,0.0032640540259,-0.00015749855235,0.0035615731556,-0.00029751912973,0,0,0.14224385438,1.6148339053e-05,-0.028514545046,0.012521560748,0.024952420382,-0.019696789906,0.051820059416,0.015866846159,-0.039298498668,-0.02804436274,0.0099539749715,0.0098674030046,0.029571592469,-0.023647701761,0.050530193073,0.050253234236,0.023402513526,0.37651824092,0.45881943697,148,3784,3452,1465,1099,1,604,3,-1,5093,8681,1607,1607,0,1,8,0,0,20s,20.617s,0.348s,5m 45s,41.295023094,34.970412686,82.591628477,-0.0083715231318,70.587414153,-0.71160721584
5,0.19,30.157344256,-1.8303851971,33.775372556,-3.6180283,0.0030772800262,-0.0001867739997,0.0034464665874,-0.00036918656122,0,0,0.16222297725,1.6050311502e-05,-0.032514834677,0.010059179675,0.029140613812,-0.020775228506,0.060038142204,0.017213103843,-0.049978962528,-0.032004230303,0.0063345355755,0.006529713276,0.032935123137,-0.02692428918,0.057589261421,0.058243730181,0.026197521067,0.46430924746,0.60506689264,185,3941,3592,1152,1115,1,580,3,-1,5648,9925,1916,1916,0,1,8,0,0,27s,27.392s,0.457s,6m 53s,41.64202807,34.956114405,83.348083956,0.048083955925,70.760411309,-1.1402839671
6,0.2,30.617681318,0.46033706156,31.843181936,-1.2255006177,0.0031242531957,4.6973169547e-05,0.0032493042792,-0.00012505108343,0,0,0.16070354288,1.9710530212e-05,-0.032844555483,0.022343891292,0.029516092697,-0.023720072841,0.058232612151,0.020345851976,-0.035888720859,-0.03437816089,0.018043683876,0.018578115636,0.035042630443,-0.030458440485,0.054745463317,0.055738978694,0.029198050792,0.3224552104,0.63427344581,172,4961,3110,915,814,1,577,3,-1,3837,6945,1662,1662,0,1,8,0,0,32s,32.179s,0.576s,6m 44s,41.991591114,34.95610354,83.935765481,-0.064234519416,70.729327808,-1.1982039062
7,0.21,31.499402234,0.88172091588,32.884495892,-1.3850936578,0.0032142247177,8.9971522029e-05,0.0033555608053,-0.00014133608753,0,0,0.14949191746,8.7876205293e-06,-0.037324044209,0.027644114507,0.033875838632,-0.023869124209,0.069626679268,0.020540661423,-0.041982564761,-0.039369390721,0.022801276211,0.022869443723,0.039006538174,-0.032905676705,0.065519698723,0.066970469454,0.031655864102,0.37606871004,0.61293537377,98,5225,3055,886,634,1,534,3,-1,3195,5240,1058,1058,0,1,8,0,0,36s,35.642s,0.695s,6m 16s,42.341162217,34.956103786,84.580878504,-0.11912149649,70.710272522,-1.1706774908
8,0.22,33.08133196,1.5819297263,34.02654362,-0.94521165993,0.0033756461184,0.00016142140064,0.0034720962878,-9.6450169381e-05,0,0,0.16116510408,1.5486265094e-05,-0.038614745521,0.039304898127,0.035132175994,-0.028064409015,0.074852177378,0.024616203439,-0.035547279251,-0.043791592348,0.034236146539,0.034231373557,0.042147865111,-0.037974190731,0.070176943941,0.071256985387,0.035478959705,0.36414493475,0.62364079022,89,6010,2341,844,605,1,481,3,-1,2754,4678,806,806,0,1,8,0,0,39s,38.381s,0.804s,5m 46s,42.6907004,34.956113205,85.300749306,-0.099250693629,70.709094447,-1.1669690907
9,0.23,31.889353842,-1.191978118,36.157040992,-4.2676871497,0.0032540156982,-0.0001216304202,0.0036894939788,-0.00043547828059,0,0,0.1607965178,9.6371785075e-06,-0.048943724951,0.019178626445,0.045499662862,-0.029313525468,0.085486433369,0.025830955941,-0.066307806924,-0.049885418507,0.012720895332,0.011367966314,0.049457458247,-0.04256363159,0.080551374788,0.081658340672,0.038713098091,0.43026309554,0.43602414131,288,4378,4300,554,568,1,592,3,-1,2760,4635,1675,1675,0,1,8,0,0,41s,40.967s,0.914s,5m 22s,43.040283239,34.956101562,86.107670515,0.0076705147926,70.93926889,-1.2808636585
10,0.24,32.295072038,0.40571819606,34.018906883,-1.7238348452,0.0032954155141,4.1399815925e-05,0.0034713170289,-0.00017590151481,0,0,0.17611365044,1.6688387803e-05,-0.055215490363,0.020963591921,0.051878538787,-0.038711878921,0.067158360443,0.035267816832,-0.046194768523,-0.05611351136,0.012940043846,0.011743659243,0.055416057048,-0.048214064141,0.060864059022,0.060724608282,0.045622827171,0.32941630637,0.40696863857,123,4342,4428,463,567,1,584,3,-1,2755,4726,1038,1038,0,1,8,0,0,44s,43.702s,1.025s,5m 5s,43.389840542,34.956133247,86.749032903,-0.050967096986,70.945407651,-1.2706221677
