load_step,load,total_energy,total_energy_change,total_init_energy,total_e_change_from_init,avg_energy,avg_energy_change,avg_init_energy,avg_e_change_from_init,min_iter_total_energy_change,min_iter_avg_energy_change,max_energy,max_force,avg_sigma11,avg_sigma12,avg_sigma22,avg_init_sigma11,avg_init_sigma12,avg_init_sigma22,avg_sigma12_change_from_init,avg_P11,avg_P12,avg_P21,avg_P22,avg_init_P11,avg_init_P12,avg_init_P21,avg_init_P22,participationFraction,m3_participationFraction,nr_elements_with_m3_change,nr_red_q1,nr_red_q2,nr_red_q3,nr_red_q4,max_m3_nr,sum_m3,max_positive_plastic_jump,max_negative_plastic_jump,nr_iterations,nr_func_evals,nr_edge_flips,nr_total_edge_flips,max_Ftotal_reconnect_error,edge_flip_chosen_minus_other_energy,edge_flip_always_chose_lower_energy,LBFGS_Term_reason,CG_Term_reason,FIRE_Term_reason,run_time,minimization_time,write_time,est_time_remaining,cmX,cmY,maxX,minX,maxY,minY
1,0.15,37.406491582,0,573.11097436,-535.70448278,0.0038169889369,0,0.05848071167,-0.054663722733,0,0,0.13824533576,2.5413224362e-06,-0.020481749096,0.010124068058,0.016342736211,-0.060948460304,0.21507350448,-0.087513324261,-0.20494943642,-0.017850949583,0.010018837639,0.0065363322841,0.020808867019,-0.030882486582,0.19362088715,0.19657532027,-0.019073759494,0.46166740135,0.46231265899,806,3609,2977,1671,1543,1,806,3,0,8328,13515,3280,3280,4.8697935772e-16,0,1,2,0,0,8.620s,8.619s,0.000s,0.000s,40.244868499,34.963244695,80.132523047,-0.36747695259,70.769479422,-0.76949994487
2,0.16,35.392875361,-2.013616221,39.048854192,-3.6559788317,0.0036115178939,-0.00020547104296,0.0039845769584,-0.00037305906446,0,0,0.14225791648,2.544490159e-05,-0.024267257721,0.0094611441989,0.02023189707,-0.014510527379,0.056550968972,0.010371514493,-0.047089824774,-0.021762542882,0.0086045629528,0.0068575531104,0.02418453149,-0.017618307062,0.056580554586,0.053579851145,0.01792437877,0.27198618251,0.36217425314,206,3660,3167,1566,1407,1,725,3,-1,3256,5523,1997,1997,5.0398356424e-16,0,1,8,0,0,12s,12.198s,0.139s,0.000s,40.601603842,34.963280658,80.87061435,-0.32938564977,70.668757444,-0.69900399434
3,0.17,33.530906488,-1.8619688727,37.030605251,-3.4996987626,0.0034215210702,-0.00018999682374,0.0037786331888,-0.00035711211863,0,0,0.14396769289,9.9188819115e-06,-0.027087965627,0.0037632668889,0.023258106372,-0.01758762616,0.056859280978,0.013552265509,-0.053096014089,-0.024787563842,0.0023277305424,0.0014228441526,0.026850754998,-0.020974781859,0.056123548075,0.054973302796,0.021016138913,0.49244872134,0.54979398455,266,3237,3961,1497,1105,1,689,3,-1,3640,6159,1736,1736,7.7150788259e-16,0,1,8,0,0,15s,15.711s,0.259s,5m 1s,40.952488405,34.970418937,81.813046617,-0.086953382664,70.646176494,-0.74822786774
4,0.18,31.987860939,-1.5430455487,34.903126912,-2.9152659729,0.0032640674428,-0.00015745362742,0.0035615435625,-0.00029747611969,0,0,0.14225298821,1.4710544063e-05,-0.02851841328,0.012512201671,0.024956152275,-0.019696682378,0.051820551969,0.015866823123,-0.039308350298,-0.028046270228,0.0099449763274,0.0098559356546,0.029573327999,-0.023647907654,0.050530729691,0.050253862347,0.02340242601,0.37649841991,0.45872609513,148,3790,3446,1464,1100,1,604,3,-1,5277,8700,1602,1602,6.9852551485e-16,0,1,8,0,0,20s,20.508s,0.377s,5m 50s,41.295022965,34.970412876,82.591554656,-0.0084453440765,70.587327062,-0.71168020876
5,0.19,30.157344251,-1.8305166881,33.775065047,-3.6177207961,0.0030772800256,-0.00018678741715,0.0034464352089,-0.00036915518328,0,0,0.16222099947,1.0641606681e-05,-0.032514616993,0.010060500137,0.029140391112,-0.020778964467,0.060029616842,0.017216703461,-0.049969116705,-0.032004179182,0.0063358467635,0.0065310555838,0.032935019359,-0.026926090864,0.057581103277,0.058233060113,0.026199317129,0.46440035876,0.60514682622,185,3941,3592,1152,1115,1,580,3,-1,5492,9401,1916,1916,5.0308704208e-16,0,1,8,0,0,27s,27.020s,0.496s,6m 50s,41.642028069,34.956114405,83.348094051,0.048094050617,70.76041206,-1.1402827898
6,0.2,30.613550574,0.45620632265,31.843245132,-1.2296945586,0.0031238316912,4.6551665577e-05,0.0032493107278,-0.00012547903659,0,0,0.16070522338,3.4581955666e-05,-0.032848517855,0.022337593938,0.029521070327,-0.023719845445,0.058233846242,0.020345619564,-0.035896252303,-0.034381751513,0.0180388431,0.018570343607,0.035046443247,-0.03045839132,0.054746685442,0.055740241464,0.029197932408,0.32237315387,0.63422036109,172,4957,3113,914,816,1,577,3,-1,3815,6923,1661,1661,5.8209760241e-16,0,1,8,0,0,32s,31.774s,0.629s,6m 41s,41.991592585,34.956104888,83.935859296,-0.064140703785,70.729153558,-1.1982521875
7,0.21,31.498688595,0.88513802124,32.880139794,-1.3814511987,0.0032141518975,9.0320206249e-05,0.0033551163055,-0.00014096440803,0,0,0.14912411941,9.9753985279e-06,-0.037340730525,0.0275960043,0.033893483582,-0.023871638016,0.069624690442,0.020544190488,-0.042028686141,-0.039380338872,0.022754410785,0.022815550246,0.039018275426,-0.032908500721,0.065519198128,0.066967277177,0.031658345978,0.37571850682,0.61278063033,98,5222,3060,883,635,1,532,3,-1,3348,5815,1054,1054,4.6962024444e-16,0,1,8,0,0,36s,35.526s,0.756s,6m 18s,42.34116256,34.956104214,84.581138644,-0.11886135589,70.709728206,-1.1708942226
8,0.22,33.080678228,1.5819896326,34.02356207,-0.94288384221,0.003375579411,0.00016142751353,0.0034717920479,-9.621263696e-05,0,0,0.1611778009,1.8754048747e-05,-0.038616366314,0.039291597775,0.035133796983,-0.0280801398,0.074807566595,0.024632892857,-0.035515968819,-0.043791213215,0.034233862923,0.034216902135,0.042145242112,-0.037972819152,0.070133720803,0.07120602223,0.035490456038,0.36434061574,0.61761828631,90,6007,2343,844,606,1,484,3,-1,2647,4524,796,796,5.4460435966e-16,0,1,8,0,0,39s,38.217s,0.874s,5m 48s,42.690699744,34.956113346,85.30074593,-0.099254069704,70.70905721,-1.1670256422
9,0.23,31.892875596,-1.1878026319,36.155755381,-4.2628797856,0.0032543750608,-0.0001212043502,0.003689362794,-0.00043498773322,0,0,0.16103116533,9.6275692261e-06,-0.048949739329,0.019171263489,0.045506535134,-0.029314904662,0.085474608574,0.025832335331,-0.066303345085,-0.049883211388,0.012738011805,0.011503597313,0.049464326554,-0.042563016642,0.080550107416,0.081645353861,0.038698991838,0.4304506785,0.43851693116,290,4378,4299,553,570,1,594,3,-1,2616,4612,1674,1674,4.8049929746e-16,0,1,8,0,0,41s,40.794s,0.993s,5m 24s,43.040282087,34.956103509,86.107690461,0.00769046059,70.939308512,-1.2809487215
10,0.24,32.300351763,0.40747616701,34.022130461,-1.7217786981,0.0032959542615,4.1579200715e-05,0.0034716459654,-0.00017569170389,0,0,0.17612231883,2.5335880184e-05,-0.055215521121,0.020968468921,0.051878584586,-0.038717176213,0.067153486683,0.035273972018,-0.046185017762,-0.056134414214,0.01297870105,0.011882344943,0.055415331868,-0.048206629568,0.060882959131,0.060868409173,0.045613297837,0.3291219053,0.40298955252,122,4343,4430,463,564,1,587,3,-1,2906,4720,1039,1039,5.1409006348e-16,0,1,8,0,0,44s,43.606s,1.111s,5m 7s,43.38983991,34.956136462,86.74885885,-0.051141149627,70.945727255,-1.2706908954
11,0.25,33.231624314,0.93127255117,34.514148012,-1.2825236986,0.0033909820728,9.5027811344e-05,0.003521851838,-0.00013086976517,0,0,0.17528118916,1.5497390686e-05,-0.055451144574,0.035168214743,0.052199750716,-0.044894514974,0.068834760529,0.041557578439,-0.033666545786,-0.058728933582,0.026921309059,0.025826722767,0.057845205824,-0.054656439133,0.060947945021,0.0611617695,0.051708805915,0.30399619603,0.43644092163,108,5656,3135,451,558,1,556,3,-1,2273,3963,1219,1219,6.3192490473e-16,0,1,8,0,0,47s,45.876s,1.232s,4m 49s,43.737622262,34.948955341,87.26275203,-0.077066683382,71.007514335,-1.30521678
