method,H,V,element_count
current,-3,0,3
current,-2,-1,6
current,-2,0,33
current,-2,1,4
current,-1,-2,3
current,-1,-1,51
current,-1,0,788
current,-1,1,100
current,-1,2,8
current,0,-3,1
current,0,-2,3
current,0,-1,327
current,0,0,5829
current,0,1,514
current,0,2,4
current,1,-1,484
current,1,0,1465
current,1,1,77
current,1,2,4
current,2,-1,12
current,2,0,72
current,2,1,8
current,3,-1,2
current,3,0,2
mathcalF,-3,-1,1
mathcalF,-3,0,1
mathcalF,-2,-1,6
mathcalF,-2,0,28
mathcalF,-2,1,1
mathcalF,-1,-2,3
mathcalF,-1,-1,39
mathcalF,-1,0,901
mathcalF,-1,1,142
mathcalF,-1,2,5
mathcalF,0,-3,2
mathcalF,0,-2,16
mathcalF,0,-1,378
mathcalF,0,0,5267
mathcalF,0,1,536
mathcalF,0,2,16
mathcalF,0,3,2
mathcalF,0,4,1
mathcalF,1,-2,1
mathcalF,1,-1,459
mathcalF,1,0,1866
mathcalF,1,1,59
mathcalF,1,2,1
mathcalF,2,-1,9
mathcalF,2,0,38
mathcalF,2,1,6
mathcalF,3,-1,1
mathcalF,3,0,12
mathcalF,4,0,1
mathcalF,4,1,1
mathcalF,7,0,1
