measure,H,V,element_count
FF_same_simulation,-3,-1,1
FF_same_simulation,-3,0,1
FF_same_simulation,-2,-1,6
FF_same_simulation,-2,0,28
FF_same_simulation,-2,1,1
FF_same_simulation,-1,-2,3
FF_same_simulation,-1,-1,39
FF_same_simulation,-1,0,901
FF_same_simulation,-1,1,142
FF_same_simulation,-1,2,5
FF_same_simulation,0,-3,2
FF_same_simulation,0,-2,16
FF_same_simulation,0,-1,378
FF_same_simulation,0,0,5267
FF_same_simulation,0,1,536
FF_same_simulation,0,2,16
FF_same_simulation,0,3,2
FF_same_simulation,0,4,1
FF_same_simulation,1,-2,1
FF_same_simulation,1,-1,459
FF_same_simulation,1,0,1866
FF_same_simulation,1,1,59
FF_same_simulation,1,2,1
FF_same_simulation,2,-1,9
FF_same_simulation,2,0,38
FF_same_simulation,2,1,6
FF_same_simulation,3,-1,1
FF_same_simulation,3,0,12
FF_same_simulation,4,0,1
FF_same_simulation,4,1,1
FF_same_simulation,7,0,1
Ttotal_same_simulation,-3,0,2
Ttotal_same_simulation,-2,-2,1
Ttotal_same_simulation,-2,-1,12
Ttotal_same_simulation,-2,0,19
Ttotal_same_simulation,-2,1,2
Ttotal_same_simulation,-1,-2,5
Ttotal_same_simulation,-1,-1,71
Ttotal_same_simulation,-1,0,913
Ttotal_same_simulation,-1,1,118
Ttotal_same_simulation,-1,2,7
Ttotal_same_simulation,0,-3,1
Ttotal_same_simulation,0,-2,17
Ttotal_same_simulation,0,-1,381
Ttotal_same_simulation,0,0,5228
Ttotal_same_simulation,0,1,526
Ttotal_same_simulation,0,2,9
Ttotal_same_simulation,1,-1,449
Ttotal_same_simulation,1,0,1910
Ttotal_same_simulation,1,1,61
Ttotal_same_simulation,1,2,1
Ttotal_same_simulation,2,-1,12
Ttotal_same_simulation,2,0,38
Ttotal_same_simulation,2,1,9
Ttotal_same_simulation,2,2,1
Ttotal_same_simulation,3,-1,1
Ttotal_same_simulation,3,0,5
Ttotal_same_simulation,4,0,1
